artist_name,total_artist_plays,artist_song_count
Cliff Martinez,2,1
Clinic,1784,6
Clint Black,174,3
Clint Mansell,13316,12
Clipse,483,1
Close Your Eyes,1400,2
Cloud Cult,2061,1
Cloud Nothings,36,1
Cloudkicker,10,1
Club 8,278,1
Clubroot,53,4
Clutch,565,3
Coal Chamber,721,8
Coalesce,114,2
Cobblestone Jazz,22,1
Cobra Starship,5950,7
Cock Robin,14,1
CocoRosie,5447,8
Coconut Records,596,4
Cocoon,2823,3
Cocteau Twins,9112,30
Code 64,14,1
Coheed and Cambria,11393,21
Coil,478,2
Colbie Caillat,45904,12
Cold,2298,3
Cold Cave,1298,3
Cold War Kids,508,4
ColdWorld,221,7
Coldcut,508,3
Coldplay,203320,43
Collapse Under the Empire,62,1
Collective Soul,40,3
Colleen,1104,14
Collie Buddz,1212,2
Collin Raye,529,1
Collingsworth Family,1,1
Colonel Claypool's Bucket of Bernie Brains,125,2
Colony 5,801,5
Com Truise,1016,1
Combichrist,8571,22
Comeback Kid,1810,14
Commix,162,4
Commodores,670,1
Common,8074,7
Common Rider,286,5
Compay Segundo,275,2
Concord Dawn,807,4
Concrete Blonde,881,1
Conjure One,6498,8
Connie Francis,2,1
Conor Maynard,138,1
Conor Oberst,3032,8
Consequence,370,1
Consumed,499,1
Contemporary Noise Quintet,100,2
Control Denied,285,3
Converge,3728,29
Conway Twitty,14,1
Coolio,478,1
Copeland,6538,11
Cor Scorpii,36,1
Coralie Clément,257,2
Corey Hart,3064,1
Corinne Bailey Rae,37286,8
Cornelius,1395,11
Cornershop,5092,1
Corrosion of Conformity,149,4
Corvus Corax,42,3
Count Basie,9,1
Counting Crows,1077,8
Country Joe & The Fish,320,2
Courtney Love,357,4
Covenant,1271,6
Coverdale/Page,216,3
Cowboy Junkies,302,2
Cradle of Filth,4773,32
Craig Armstrong,1358,2
Craig David,3370,1
Craig Morgan,8426,3
Cranes,31,2
Crash Test Dummies,3696,1
Crashdïet,376,2
Crazy Penis,362,1
Crazy Town,354,2
Cream,8303,15
Creed,30394,11
Creedence Clearwater Revival,65066,33
Crippled Black Phoenix,276,7
Cro,21,1
Cro-Mags,278,1
Crocodiles,7,2
Crookers,2944,4
Crosby & Nash,55,1
"Crosby, Stills & Nash",174,2
"Crosby, Stills, Nash & Young",6077,4
Crossfade,23,2
Crossfaith,1,1
Crowbar,391,8
Crowded House,5783,4
Cruachan,7,1
Cry Of Love,80,1
Cryptopsy,684,19
Crystal Castles,57762,19
Crystal Fighters,169,4
Crystal Stilts,21,1
Cujo,1153,5
Culcha Candela,151,1
Cult of Luna,1006,22
Cults,138,2
Culture Club,2398,3
Culture Kultür,26,2
Current 93,321,5
Curse,102,1
Cursive,4444,6
Curtis Mayfield,2866,6
Curve,134,3
Cusco,208,5
Cut Chemist,14,1
Cut Copy,35233,9
Cute Is What We Aim For,2823,5
Cutsigh,228,1
Cutting Crew,22,1
Cutting Pink With Knives,5,1
Cyantific,415,5
Cyberaktif,36,1
Cymande,867,2
Cymbals Eat Guitars,292,3
Cyndi Lauper,2468,5
Cynic,81,2
Cypress Hill,1349,7
Cássia Eller,1941,2
Cécile Corbel,32,1
Céline Dion,11187,3
César Franck,48,1
Céu,2,1
Cœur de Pirate,5642,4
D'Angelo,4926,7
D'espairsRay,90,6
D12,4545,2
DANGERDOOM,6621,4
DAY26,252,1
DFC,24,1
DIIV,41,2
DIR EN GREY,9947,34
DJ Aligator,285,1
DJ Cam,461,2
DJ Disse,343,1
DJ Fresh,23,2
DJ Hazard,41,2
DJ Khaled,21,1
DJ Koze,472,5
DJ Krush,1083,3
DJ Luck & MC Neat,459,1
DJ Marky & XRS,143,1
DJ Mehdi,99,2
DJ Okawari,14,1
DJ Quicksilver,4,1
DJ Rap,16,1
DJ Shadow,10250,17
DJ Zinc,684,3
DMX,8416,7
Da Brat,34,1
Da Lata,588,4
Dabrye,1285,6
Dada Life,479,1
Daddy DJ,216,1
Daedelus,1004,10
Daft Punk,120150,39
Dagda,434,3
Dagoba,158,2
Daisy Chainsaw,1,1
Dallas Superstars,89,1
Damageplan,87,1
Damian Marley,20298,17
Damien Jurado,1371,1
Damien Rice,30609,11
Damon Albarn,3,1
Dan Auerbach,10385,11
Dan Black,1389,1
Dan Deacon,1547,3
Dan Hartman,16,1
Dan Hill,7,1
Dan Le Sac vs Scroobius Pip,3,1
Dananananaykroyd,387,1
Dance Gavin Dance,10276,20
Dani Siciliano,1,1
Daniel Balavoine,444,1
Daniel Johnston,79,2
Daniel Kandi,15,1
Daniel Powter,893,1
Danity Kane,328,2
Danko Jones,1286,6
Danny Brown,237,1
Danny Byrd,1011,7
Danny Elfman,8999,8
Danzig,3639,14
Daphne Loves Derby,147,2
Dara Maclean,952,1
Dargaard,232,2
Dario Marianelli,3846,5
Darius,1,1
Darius Rucker,29968,4
Dark Fortress,28,1
Dark Funeral,1341,22
Dark Moor,15,1
Dark New Day,1281,2
Dark Sanctuary,695,12
Dark Tranquillity,3173,23
Darker My Love,113,1
Darkest Hour,6,1
Darkseed,202,1
Darkside,1062,2
Darkstar,9,2
Darkthrone,495,22
Darlene Love,6,1
Darondo,2019,1
Darryl Worley,2579,2
Darude,874,6
Darwin Deez,11163,5
Das Ich,281,5
Dash Berlin,2292,2
Dashboard Confessional,43383,26
Data,1114,3
Datarock,2825,7
Datsik,19,1
Daturah,43,1
Daughter,1025,4
Daughters,310,6
Daughtry,1869,4
Dave & Ansel Collins,307,1
Dave Gahan,767,6
Dave Matthews Band,10176,10
David Allan Coe,942,3
David Archuleta,3180,1
David Arkenstone,337,4
David Bowie,5262,21
David Byrne,507,1
David Cook,3359,1
David Cross,13,1
David Essex,68,1
David Gilmour,46,1
David Gray,646,3
David Guetta,73189,5
David Holmes,642,1
David Lee Murphy,40,1
David Lynch,3,1
David Ruffin,27,1
David Ryan Harris,301,1
David Soul,922,1
David Sylvian,374,4
David Thomas Broughton,9,1
David Usher,1181,1
Davy Spillane,46,1
Dawn of Ashes,16,2
Days of the New,19904,11
De-Phazz,8463,30
DeVotchKa,1040,3
Dead Boys,1,1
Dead By Sunrise,938,1
Dead Can Dance,754,11
Dead Kennedys,18814,27
Dead Man's Bones,4671,7
Dead Meadow,109,1
Dead Poetic,1533,9
Dead by April,53,2
Dead or Alive,729,1
DeadLock,783,9
Deaf Center,44,3
Deafheaven,867,3
Dean Martin,90,2
Deana Carter,8433,2
Dear and the Headlights,3987,1
Death,2426,14
Death Angel,135,3
Death Cab for Cutie,21356,11
Death from Above 1979,9645,10
Death in June & Boyd Rice,585,1
Death in Vegas,1133,14
Deathspell Omega,591,1
Deathstars,2363,16
Decapitated,231,2
Decoded Feedback,8,1
Dee Dee Bridgewater,57,1
Deep Blue,98,1
Deep Blue Something,3,1
Deep Cut,43,1
Deep Dish,641,5
Deep Forest,13970,14
Deep Purple,8003,7
Deepak Ram,631,2
Deer Tick,5966,3
Deerhoof,4363,38
Deerhunter,17597,29
Def Leppard,203,4
Default,425,5
Defeated Sanity,26,2
Defeater,274,3
Deftones,15585,16
Deichkind,24,1
Deicide,291,3
Deine Lakaien,286,3
Del Amitri,358,2
Del Tha Funkee Homosapien,2133,1
Delain,109,2
Delegation,11,1
Delerium,4651,14
Delilah,48,1
Delorean,546,1
Delphic,1878,4
Delroy Wilson,248,2
Delta 5,83,1
Delta Goodrem,52,2
Delta Spirit,3900,3
Deltron 3030,151,4
Demi Lovato,10282,13
Demilich,363,1
Demis Roussos,422,1
Demon Hunter,5586,5
Dennis Brown,32,2
Dennis Wilson,40,1
Department of Eagles,6598,10
Depeche Mode,104860,27
Derdian,72,1
Derek and the Dominos,1032,3
Derrick May,41,1
Derrick Morgan,1275,2
Des'ree,644,1
Desaparecidos,39,1
Descendents,22935,28
Desert Sessions,1779,7
Desiderii Marginis,3210,2
Desiigner,49,1
Desmond Dekker,2193,3
Desmond Pringle,252,1
Despised Icon,2905,16
Destiny's Child,8467,6
Destroy Rebuild Until God Shows,10,1
Destroyer,5432,9
Destruction,1037,6
Deströyer 666,83,1
Dethklok,2,1
Detonautas Roque Clube,290,2
Deuter,115,1
Deutsch Amerikanische Freundschaft,956,1
Deutsch Nepal,1,1
Deva Premal,555,2
Devendra Banhart,32640,32
Devil Sold His Soul,65,1
Devil's Gift,570,1
DevilDriver,140,3
Devin Townsend,12607,22
Devin Townsend Project,2952,14
Deviot,60,1
Devo,8359,12
Diablo,170,9
Diablo Swing Orchestra,3498,15
Diabolical Masquerade,19,3
Diamanda Galás,2047,10
Diana King,280,1
Diana Krall,2840,9
Diana Ross,4865,6
Diana Ross and the Supremes,89,1
Diane Arkenstone,9,2
Diary of Dreams,479,10
Dick Dale,11,1
Dick Dale & His Del-Tones,3,1
Diddy - Dirty Money,4237,1
Dido,7374,10
Die Antwoord,759,6
Die Apokalyptischen Reiter,16907,8
Die Form,103,1
Die Krupps,6,1
Die Toten Hosen,442,4
Diecast,163,1
Dierks Bentley,24221,6
Digable Planets,2119,8
Digital Mystikz,19,1
Digitalism,20143,11
Dilated Peoples,848,4
Dillon Francis,9,1
Dimension,18,1
Dimmu Borgir,16807,27
Dinah Washington,460,2
Dinosaur Jr.,6819,42
Dio,2473,8
Dion,2,1
Dionne Warwick,1,1
Diorama,20,1
Dioxyde,26,1
Diplo,716,2
Dire Straits,1344,10
Dirty Elegance,1,1
Dirty Pretty Things,2336,10
Dirty Projectors,1020,6
Dirty Three,490,3
Dirty Vegas,1568,5
Dirtyphonics,321,3
Disciple,2,1
Disclosure,25,1
Discount,4,1
Discovery,13388,4
Dishwalla,2030,1
Dismember,178,1
Dispatch,6555,3
Dissection,144,2
Distance,1400,4
Disturbed,25956,16
Diva Destruction,68,1
Divinyls,10131,1
Dixie Chicks,21132,14
Dizzee Rascal,18,2
Django Django,95,3
Dntel,686,8
Do Make Say Think,1395,9
Dobet Gnahoré,113,1
Doctor Flake,54,1
Document One,1268,1
Doe Maar,225,1
"Does It Offend You, Yeah?",5662,6
Dog Fashion Disco,420,2
Dogs Die in Hot Cars,221,2
Doja Cat,451,1
Dolly Parton,15,1
Dolores O'Riordan,119,1
Dominik Eulberg,60,1
Don Caballero,40,3
Don Carlos,237,2
Don Covay,136,1
Don Francisco,860,1
Don Henley,3225,1
Don McLean,70,2
Donald Fagen,48,1
Donald McCollum,395,1
Donavon Frankenreiter,23,2
Donell Jones,3135,2
Donkeyboy,27,1
Donna De Lory,20,1
Donna Summer,203,1
Donny Hathaway,2822,6
Donovan,325,3
Doof,4,1
Doom,84,1
Doormouse,3,1
Dope,4349,17
Dope Stars Inc.,464,19
Doris Day,504,1
Doves,19232,25
Down,1292,4
Download,20,2
Dr. Dog,501,5
Dr. Dre,64367,13
Dr. Feelgood,28,1
Dr. Hook,73,1
Dr. John,18,1
Dr. Octagon,133,2
Draconian,171,4
DragonForce,5209,6
Dragonette,1423,3
Dragonland,800,10
Drake,6398,9
Dreadzone,600,2
Dream Evil,1043,4
Dream Koala,67,1
Dream Theater,20486,30
Drexciya,33,1
Drive Like Jehu,597,8
Drive-By Truckers,991,1
"Drop Dead, Gorgeous",258,2
Drop Nineteens,289,6
Dropkick Murphys,23221,21
Drowning Pool,8488,12
Dru Hill,12,1
Drumcorps,137,5
Dry Kill Logic,2,1
Dry the River,4092,2
Dua Lipa,520,4
Dub Incorporation,1059,1
Dublex Inc.,17,1
Duffy,173,4
Duke Dumont,84,2
Dulce Liquido,3,1
Dum Dum Girls,5094,5
DumDum Boys,52,1
Duncan Dhu,6115,1
Duncan Sheik,51,1
Dune,546,1
Dungen,1115,8
Duran Duran,3533,7
Dustin Lynch,657,1
Dustin O'Halloran,2909,6
Dustin Tebbutt,1302,1
Dusty Kid,77,1
Dusty Springfield,379,4
Dwarves,313,1
Dying Fetus,734,13
Dynamite Deluxe,857,5
Dzihan & Kamien,1259,3
Dälek,181,1
Dżem,36,1
E-Rotic,3,1
E.S. Posthumus,78,2
EAV,14,1
ELLEGARDEN,79,1
EMF,553,1
EMMA6,6,1
EPMD,1145,2
ESG,723,3
EVE 6,3113,2
Eagle Twin,55,2
Eagle-Eye Cherry,2165,6
Eagles,6378,7
Eagles of Death Metal,11549,18
Earl Sweatshirt,699,1
Earlimart,97,1
Earth,971,6
"Earth, Wind & Fire",1803,5
East 17,840,1
Eastern Sun,8955,1
Easton Corbin,5627,5
Easy Star All-Stars,4709,6
Eazy-E,2358,3
Echo & the Bunnymen,4781,11
Echobelly,4,1
Echosmith,528,2
Echt,384,1
Ed Rush & Optical,427,6
Ed Sheeran,74,3
Eddie Holland,41,1
Eddie Money,29,2
Eddie Vedder,37993,7
Eddy Grant,1017,1
Edenbridge,279,8
Edgard Varèse,128,1
Edge of Dawn,24,1
Edgewater,157,2
Edguy,8028,34
Editors,508,6
Edvin Marton,136,1
Edward Maya,856,1
Edward Sharpe & The Magnetic Zeros,59642,8
Edwin Birdsong,10,1
Edwin McCain,92,1
Edwyn Collins,12687,1
Eek-a-Mouse,5,1
Eels,18613,28
Efdemin,636,6
Efterklang,5796,25
Eftos!rx,81,1
Egypt Central,155,1
Eiffel 65,11520,1
Eighteen Visions,126,4
Einherjer,176,1
Einstürzende Neubauten,681,12
Eisbrecher,1662,10
Ektomorf,526,3
El Gran Silencio,1466,1
El Grupo Nuevo de Omar Rodriguez Lopez,13,1
El Guincho,1400,2
El Perro del Mar,2285,6
Elbow,8719,18
Electrelane,699,5
Electric Guest,5,1
Electric Light Orchestra,8375,9
Electric Universe,35,4
Electric Wizard,3735,12
Electronic,1,1
Elefant,208,2
Elektrochemie,3,1
Element Eighty,975,10
Elend,1,1
Elephant Man,553,1
Elf,67,2
Eli Young Band,7647,4
Eliades Ochoa,19,1
Eliane Elias,1,1
Elis,94,2
Eliza Doolittle,14700,4
Ella Baila Sola,1435,1
Ella Fitzgerald,1028,10
Ella Fitzgerald & Louis Armstrong,101,1
Ella On The Run,666,1
Elle Varner,99,1
Ellen Allien,435,6
Ellie Goulding,27916,12
Elliott Smith,58896,67
Elliott Yamin,45,1
Elton John,24268,12
Eluveitie,15111,32
Elvenking,2295,28
Elvis Costello,1798,4
Elvis Costello & The Attractions,3505,2
Elvis Presley,2041,15
Ely Guerra,553,1
Elysia,8,2
Emalkay,291,2
Emancipator,8206,14
Emarosa,7340,11
Embrace,7,1
Emeli Sandé,17,1
Emeralds,272,2
"Emerson, Lake & Palmer",133,4
Emery,14092,25
Emigrate,745,4
Emilie Autumn,826,8
Emily Jane White,149,1
Emily Osment,36,1
Emilíana Torrini,12596,12
Eminem,146204,27
Emma Bunton,623,1
Emma Shapplin,646,5
Emmure,1973,10
Emmy the Great,25,1
Emmylou Harris,2053,3
Emperor,936,11
Empire of the Sun,12006,8
Empyrium,102,2
En Vogue,7578,2
Enam,3,1
Endo,145,1
Engelbert Humperdinck,94,1
Engenheiros Do Hawaii,2150,2
Engine-EarZ Experiment,32,1
Enigma,31909,37
Ennio Morricone,5066,6
Enrique Iglesias,2729,2
Ensiferum,15031,29
Enslaved,3766,19
Enter Shikari,6854,18
Entombed,2505,15
Entwine,840,9
Enya,125692,59
Ephel Duath,9,1
Epica,12476,10
Equilibrium,1735,20
Era,15630,14
Erasure,5419,3
Eric Burdon,43,1
Eric Burdon & The Animals,1383,1
Eric Church,36792,8
Eric Clapton,8870,18
Eric Dolphy,8,1
Eric Hutchinson,106,2
Eric Prydz,1852,4
Eric Whitacre,26,1
Erik Satie,94,2
Erin McCarley,5662,3
Erlend Øye,10738,7
Errol Dunkley,165,1
Erykah Badu,7604,12
Esbjörn Svensson Trio,106,2
Escape the Fate,23365,9
Eskimo,11,1
Eskmo,522,2
Esmerine,42,1
Esoteric,1,1
Espen Lind,545,1
Esperanza Spalding,548,2
Espers,134,1
Estatic Fear,551,8
Ester Dean,15209,1
Esther Phillips,1,1
Esthero,38,1
Estopa,119,2
Estrella Morente,71,1
Eternal Lord,260,5
Eternal Tears of Sorrow,337,8
Eths,90,3
Etta James,9,2
Europe,637,3
Eurythmics,317,4
Eva Cassidy,904,2
Eva Simons,15,1
Evan Rachel Wood,35,2
Evanescence,81903,14
Evangelicals,1101,1
Eve,279,2
"Evelyn ""Champagne"" King",78,1
Everclear,15777,14
Evergreen Terrace,1377,10
Evergrey,1123,10
Everlast,526,1
Every Avenue,7837,7
Every Time I Die,4977,42
Everything But the Girl,2495,9
Everything Everything,247,1
Evgeny Kissin,15,1
Evie Karlsson,677,1
Evil Nine,463,2
Evile,244,1
Evol Intent,277,9
Ewa Farna,60,1
Ewun,1,1
Excel,9,1
Exile,40,1
Exo,12,1
Exodus,2375,14
Explosions in the Sky,23951,8
Extrawelt,2912,12
Extreme,217,1
Extreme Noise Terror,51,7
Eyedea & Abilities,98,1
Eyehategod,1745,18
Eyes Set to Kill,7063,13
FC/Kahuna,616,4
FGFC820,199,1
FKA twigs,89,7
FKJ,4,1
FLYamSAM,371,1
FM Belfast,135,1
FM Static,148,1
Fabolous,422,1
Faces,335,2
Fact,212,3
Factory Floor,2788,1
Fad Gadget,257,2
Failure,424,4
Fair to Midland,5228,9
Faith Evans,4,1
Faith Hill,83,1
Faith No More,57350,38
Faith and the Muse,38,1
Faithless,13107,24
Fake Blood,1181,1
Falco,688,4
Falconer,16,2
Fall Out Boy,18465,20
Fall of Serenity,7,1
Familjen,1166,7
Family Force 5,1139,1
Fanfarlo,5149,4
Fang,54,1
Fantan Mojah,2,1
Fantômas,76,3
Far East Movement,128,2
Farben Lehre,202,2
Farin Urlaub,170,3
Fat Freddy's Drop,12028,8
Fatback Band,183,1
Fatboy Slim,9068,13
Fatima Spar und Die Freedom Fries,124,1
Fatima Yamaha,16,1
Fats Domino,1277,1
Faun,46,2
Faunts,2590,3
Faust,195,3
Fauxliage,13,1
Feadz,75,1
Fear Before The March Of Flames,33,1
Fear Factory,3591,13
Fear My Thoughts,36,1
Fedde Le Grand,491,2
Federico Aubele,1566,3
Feeder,2346,5
Feel,3631,2
Fehlfarben,315,1
Feindflug,2,1
Feist,39829,8
Fejd,4,1
Fela Kuti,1492,7
Felix Jaehn,2160,1
Felix Laband,213,1
Felix Mendelssohn,204,1
Felix da Housecat,869,3
Felt,98,1
Femi Kuti,27,1
Fenech-Soler,1111,3
Fenix TX,2676,3
Fennesz,577,14
Fergie,14060,2
Fernanda Porto,102,1
Ferras,1543,1
Ferry Corsten,3626,7
Fettes Brot,2968,7
Fever Ray,6465,6
Fiction Factory,121,1
Field Music,194,2
Fields of the Nephilim,170,5
Fifth Harmony,60,1
Fightstar,1372,2
Fila Brazillia,618,8
Film School,779,2
Filter,1001,6
Filthy Dukes,27,1
Finch,1681,10
Fine Young Cannibals,721,2
Fingathing,789,1
Finger Eleven,18882,10
Fink,1262,2
Finley Quaye,9068,4
Finntroll,10683,52
Fiona Apple,21684,19
Firewind,964,5
First Aid Kit,5386,8
Fischerspooner,5208,11
Fish,62,1
Fisz Emade jako Tworzywo Sztuczne,7,1
Fit for a King,134,2
Fitz and the Tantrums,2,1
Five Finger Death Punch,19455,14
Five Horse Johnson,103,1
Five Iron Frenzy,519,2
Five for Fighting,8193,1
Flaw,3006,12
Fleet Foxes,99150,14
Fleetwood Mac,20133,15
Flesh Field,6,1
Fleshgod Apocalypse,13,2
Flight of the Conchords,25405,15
Flipsyde,58,1
Flo Rida,81,1
Floating Points,60,1
Flobots,3135,2
Floex,6,1
Flogging Molly,60612,15
Florence + the Machine,95597,12
Florence Rawlings,5,1
Florian Meindl,11,1
Florida Georgia Line,920,2
Flow,100,1
Flowing Tears,94,3
Fluke,2577,10
Flume,1557,3
Flunk,2275,8
Flying Lotus,46883,23
Flying Saucer Attack,128,3
Flykkiller,205,3
Flyleaf,31126,12
Foals,59384,18
Fobia,5,1
Foo Fighters,55708,37
Fool's Garden,96,1
For All Those Sleeping,540,1
For My Pain...,114,5
For Today,2145,6
For the Fallen Dreams,71,1
Forefather,83,1
Foreigner,727,2
Forever the Sickest Kids,8523,7
Fort Knox Five,8,1
Fort Minor,137,1
Foster the People,2254,4
Fotos,166,6
Fountains of Wayne,18905,2
Four Letter Lie,30,1
Four Quartets,69,2
Four Tet,54034,31
Four Year Strong,11676,10
Foxboro Hot Tubs,263,2
Foxes,17,1
Foxy Brown,83,1
Foxy Shazam,1390,7
Foxygen,1679,2
Foy Vance,835,1
Fragma,372,1
Framing Hanley,1320,1
France Gall,1,1
Francesco De Gregori,225,1
Francis Cabrel,1,1
Francisco Tárrega,177,1
Frank Black,139,1
Frank Ocean,349,5
Frank Sinatra,932,11
Frank Turner,197,3
Frank Zappa,1067,12
Frankie Avalon,710,1
Frankie Goes to Hollywood,47,3
Frankie J,2220,2
Frankie Lymon and The Teenagers,125,1
Frankie Rose,53,1
Frankie Valli & the Four Seasons,1007,2
Frankmusik,316,2
Franz Ferdinand,14061,18
Franz Liszt,330,3
Franz Schubert,8,1
Françoise Hardy,242,2
Fred Astaire,7,1
Freddie & The Dreamers,629,1
Freddie Hubbard,390,1
Freddie Jackson,621,1
Freddie King,190,1
Freddie Notes & The Rudies,1,1
Freddy Fender,5,1
Free,612,2
Freedom Call,679,5
Freeland,136,2
Freestylers,125,1
Freetempo,2,1
Frejat,12,1
Frida,1902,1
Friendly Fires,8701,6
Frightened Rabbit,22993,11
Frittenbude,75,1
Frog Eyes,85,5
From Autumn To Ashes,1680,15
From First to Last,5721,14
From The Shallows,1,1
Front Line Assembly,5,1
Frou Frou,10647,8
Frozen Plasma,67,1
Fruit Bats,405,1
Frédéric Chopin,2284,4
Fu,9,1
Fuck Buttons,1808,8
Fucked Up,659,4
Fuel,3059,9
Fugazi,5984,11
Fugees,2742,7
Fujiya & Miyagi,2644,2
Fukkk Offf,306,1
Full Blown Chaos,47,1
Fun Lovin' Criminals,3827,6
Funeral for a Friend,4578,11
Funkadelic,1984,2
Funker Vogt,471,4
Funki Porcini,7556,13
Further Seems Forever,494,3
Future,158,1
Future Islands,2898,2
Future Leaders of the World,903,1
Future Prophecies,2276,6
Future of the Left,158,1
G-Eazy,47,1
G-Unit,2121,3
G. Love,469,1
G. Love & Special Sauce,5134,11
GG Allin,163,2
GMS,41,1
GS Boyz,187,1
GWAR,1,1
Gabriel & Dresden,3666,1
Gabriel Fauré,1066,2
Gabriella Cilmi,1093,3
Gaelic Storm,859,2
Gaia,5,1
Gal Costa,147,1
Galaxie 500,3713,11
Gallows,159,3
Gamma Ray,4,1
Gandalf,87,4
Gang Gang Dance,3017,5
Gang Green,23,1
Gang Starr,1818,3
Gang of Four,16477,8
Garbage,20451,19
Gardens & Villa,50,1
Gary Allan,28447,8
Gary B,26,1
Gary Clark Jr.,50,1
Gary Moore,1613,7
Gary Numan,727,5
Gavin Bryars,100,1
Gavin DeGraw,6419,6
Gay For Johnny Depp,21,1
Gayngs,2,1
Gene,2,1
Gene Chandler,4,1
Gene Pitney,219,1
Genesis,7875,13
Genghis Tron,218,6
Genitallica,4,1
Genki Rockets,441,1
Gentle Giant,915,6
Gentleman,1209,13
Geographer,3,1
Georg Friedrich Händel,56,1
George Baker Selection,3,1
George Benson,68,2
George Duke,10,1
George Ezra,84,2
George Harrison,869,2
George Jones,43,2
George McCrae,3,1
George Michael,6242,6
George Strait,1276,2
George Winston,32,1
Georges Brassens,17,2
Geri Halliwell,13,1
Gerry & The Pacemakers,304,2
Gerry Rafferty,3717,2
Gescom,222,3
Ghost,96,2
Ghost Brigade,86,5
Giacomo Puccini,40,2
Giant Drag,570,3
Gigi D'Agostino,64,3
Gil Scott-Heron,931,3
Gilberto Gil,39,1
Gillian Welch,6194,10
Gin Blossoms,479,1
Ginuwine,4681,5
Gioacchino Rossini,26,2
Giovanni Allevi,13,1
Gipsy Kings,2488,11
Girl Talk,31901,18
Girl Unit,1,1
Girlicious,255,1
Girls,144,3
Gisbert zu Knyphausen,556,2
Giulia y Los Tellarini,1727,1
Giuseppe Verdi,28,1
Gladys Knight & The Pips,469,1
Glass Animals,130,1
Glass Candy,2191,6
Glass Tiger,323,1
Glasser,31,1
Glasvegas,3,1
Glee Cast,6279,8
Glen Campbell,281,1
Glen Hansard,3270,3
Glen Hansard & Markéta Irglová,41,1
Glen Payne,821,1
Glenn Branca,37,2
Glenn Miller,109,3
Global Communication,3,1
Global Experience,3,1
Gloria Estefan,164,1
Gloriana,27,1
Gnarls Barkley,14478,4
Go West,3731,2
Goatsnake,115,1
Goatwhore,461,1
Gob,4768,3
God Forbid,327,2
God Help the Girl,220,1
God Is An Astronaut,3607,6
God Module,987,10
Godflesh,8,2
Godhead,89,1
Godsmack,12874,21
Gogol Bordello,14106,11
Gojira,5052,25
Gold Panda,3409,9
Golden Earring,23,1
Golden Smog,221,1
Goldfinger,5169,11
Goldfish,7,2
Goldfrapp,10431,27
Goldie,406,2
Goldmund,62,2
Gondwana,379,1
Gonzales,234,3
Goo Goo Dolls,394,5
Good Charlotte,3045,14
Good Old War,4,1
Good Riddance,65,1
Good Shoes,524,3
Goombay Dance Band,721,1
Goose,214,3
Goran Bregović,1194,1
Gordian Knot,54,2
Gordon Lightfoot,1714,5
Gorgoroth,428,10
Gorguts,106,2
Gorilla Biscuits,352,2
Gorillaz,128506,50
Gorky's Zygotic Mynci,44,1
Gossip,829,4
Gotan Project,9403,13
Gothminister,297,2
Gotye,2079,9
Gouryella,203,1
Gov't Mule,248,2
Govi,73,2
Grace,35,1
Grace Jones,4011,4
Graham Colton,86,1
Graham Coxon,352,7
Graham Parker,47,2
Gramatik,41,2
Grand Archives,909,1
Grand Funk Railroad,2286,1
Grand Magus,18,1
Grandaddy,7579,7
Grandmaster Flash,1061,1
Grant Green,761,1
Grant Lee Buffalo,132,1
Grateful Dead,659,13
Gravediggaz,99,1
Gravenhurst,125,2
Graveworm,1124,15
Graveyard,2411,2
Great Lake Swimmers,14778,17
Great White,16264,3
Greeley Estates,833,14
Green Carnation,170,6
Green Day,8694,18
Green River,2,1
Greg Laswell,5833,3
Gregor Tresher,236,1
Gregory Alan Isakov,380,2
Gregory Isaacs,605,2
Gretchen Wilson,3431,3
Grimes,10,1
Grinderman,2066,5
Gripin,1,1
Grizzly Bear,10533,18
Groove Armada,10624,18
Groovezone,85,1
Groundation,5963,4
Grouper,359,4
Grzegorz Turnau,145,1
Guano Apes,3432,10
Gucci Mane,67,2
Gudda Gudda,103,1
Gui Boratto,1187,8
Guided by Voices,6,1
Guillemots,1476,6
Guns N' Roses,89762,27
Guru,602,1
Gustav Holst,2,1
Gustav Mahler,16,1
Gustavo Cerati,3706,4
Gustavo Santaolalla,5115,6
Guster,4823,4
Guthrie Govan,1,1
Guttermouth,1392,2
Gwen Stefani,15846,9
Gyllene Tider,517,1
Gym Class Heroes,3552,1
Gyptian,63,1
Gérard Lenorman,1,1
H-Blockx,566,1
H.O.S.H.,284,1
H2O,2,1
HAIM,390,3
HORSE the band,1216,6
Habakuk,344,8
Habib Koité,195,1
Hacienda,773,1
Hadouken!,1,1
Haerts,44,1
Hagalaz' Runedance,264,2
Haggard,2808,22
Hailee Steinfeld,38,1
Haircut 100,50,1
Haken,34,1
Half Moon Run,17,1
Hall & Oates,1638,4
Hallucinogen,906,7
Halou,1650,8
Halsey,52,2
"Hamilton, Joe Frank & Reynolds",1677,1
HammerFall,21091,30
Hammock,1,1
Handsome Furs,1316,7
Hank Williams,44,3
Hannah Montana,1735,2
Hanne Hukkelberg,88,1
Hanner,2,1
Hans Zimmer,2375,12
Hans Zimmer & James Newton Howard,1417,1
Hanson,2069,2
Happy Mondays,4226,5
Hard-Fi,1044,3
Hardcore Superstar,463,1
Hardknox,132,1
Harmonia,63,2
Harmonic 313,104,2
Harold Budd,1470,7
Harry Chapin,1,1
"Harry Connick, Jr.",231,2
Harry Gregson-Williams,340,2
Harry Styles,38,1
Harvey Danger,1008,1
Haste the Day,4318,16
