artist_name,total_artist_plays,artist_song_count
Alpha,160,2
Alphabeat,256,2
Alphaville,23,3
Alphawezen,185,2
Alpine,4,1
Altan,73,1
Alter Bridge,18976,11
Alton Ellis,33,1
AlunaGeorge,15,1
Alvvays,169,1
Aly & AJ,9554,4
Amadou & Mariam,267,3
Amaia Montero,15,1
Amanda Blank,1309,1
Amanda Jenssen,5,1
Amanda Palmer,35,3
Amaranthe,495,5
Amatory,743,2
Amber Pacific,5298,7
Amberian Dawn,324,5
Ambulance Ltd,933,3
Amduscia,192,3
America,1866,4
American Football,546,3
American Head Charge,571,3
American Hi-Fi,3946,7
Amerie,167,2
Amesoeurs,273,8
Amethystium,69,5
Ametsub,33,1
Amiina,2163,9
Ammoncontact,37,1
Amon Amarth,18504,37
Amon Tobin,10595,38
Amorphis,10199,55
Amos Lee,51028,15
Amparanoia,1078,2
Amplifier,45,2
Amusement Parks On Fire,275,7
Amy Adams,1654,1
Amy Diamond,381,1
Amy Lambert,38,1
Amy Macdonald,1785,4
Amy Millan,511,3
Amy Winehouse,57222,13
An Albatross,31,3
Anaal Nathrakh,903,32
Anal Cunt,4,1
Ananda Shankar,120,1
Anarbor,2933,5
Anastacia,224,2
Anathema,5971,27
Anberlin,51218,25
Ancient Astronauts,143,1
And Also The Trees,8,1
And So I Watch You From Afar,9858,8
Anderson .Paak,19,1
Andhim,101,1
Andrea Bocelli,332,2
Andrea Doria,115,1
Andrew Bird,56014,18
Andrew Lloyd Webber,12,2
Andrew W.K.,1713,4
Andreya Triana,28,1
Androcell,32,1
Andru Donalds,542,3
Andrés Calamaro,1286,1
Andrés Segovia,88,1
Andy Kim,1056,1
Andy McKee,1727,3
Andy Williams,9,1
Ane Brun,1986,7
Angel Witch,434,2
Angela Lansbury,8,1
Angels & Agony,12,1
Angels & Airwaves,15791,10
Angelspit,707,8
Angelzoom,6430,1
Anggun,1011,1
Angie Stone,1390,2
Angra,26,4
Angtoria,1442,6
Angus & Julia Stone,47348,21
Angélique Kidjo,42,1
Ani DiFranco,164,1
Ania,131,2
Animal Collective,45666,53
Animals as Leaders,12246,12
Animosity,33,2
Anja Garbarek,578,8
Anja Schneider,110,2
Anna Abreu,19,1
Anna Calvi,32,1
Anna Karina,62,1
Anna Nalick,6225,2
Anna Ternheim,5862,18
Anne Clark,1,1
Anne Hathaway,97,1
Anne Murray,80,1
Annett Louisan,407,6
Annie,449,5
Annie Lennox,188,2
Annihilator,437,3
Annotations of an Autopsy,1394,15
Anoice,42,4
Anoraak,634,5
Anorexia Nervosa,109,3
Another Level,65,1
Anouar Brahem,187,3
Anoushka Shankar,438,3
Anterior,35,1
Anthony B,22,1
Anthony Hamilton,77,2
Anthrax,7493,19
Anti-Flag,2396,9
Antibalas Afrobeat Orchestra,592,3
Antimatter,2367,12
Antonio Vivaldi,190,2
Antony Parviainen,1,1
Antony and the Johnsons,24986,14
Antony with Bryce Dessner,54,1
Antonín Dvořák,16,1
Antsy Pants,154,1
Antônio Carlos Jobim,403,4
Anya Marina,1507,1
Anúna,118,1
Aphex Twin,16932,47
Aphrodite's Child,614,2
Apocalyptica,33183,29
Apollo 440,36,4
Apoptygma Berzerk,908,9
Apostle of Hustle,402,2
Apparat,471,2
April March,58,1
April Stevens,4957,1
April Wine,85,1
Aqua,8782,6
Aqualung,90,3
Aqueduct,715,1
Arab Strap,115,1
Arab on Radar,50,4
Arca,1177,4
Arcade Fire,98033,19
Arcadia,43,1
Arcana,530,10
Arcangelo Corelli,195,1
Arch Enemy,18332,46
Archers of Loaf,417,2
Archie Bronson Outfit,601,2
Architects,2703,9
Architecture in Helsinki,13653,12
Archive,1975,10
Arctic Monkeys,74376,30
Arcturus,425,7
Aretha Franklin,916,5
Argent,55,1
Ari Koivunen,174,2
Ariana Grande,1472,8
Ariel Pink,3,1
Ariel Pink's Haunted Graffiti,5434,8
Aril Brikha,56,1
Ark,254,2
Arkona,721,12
Armand van Helden,2225,2
Armin van Buuren,7700,8
Armor for Sleep,165,2
Armored Saint,387,1
Arnej,117,2
Arno Cost & Arias,55,1
Aromabar,219,1
Arsis,406,10
Arsonists Get All The Girls,1748,17
Art Brut,905,3
Art of Dying,59,2
Art of Noise,195,1
Artesia,224,7
Arthur Russell,314,7
Artist vs. Poet,733,2
Arvo Pärt,58,1
As Cities Burn,1532,11
As I Lay Dying,27619,38
As We Fight,55,1
Asaf Avidan & The Mojos,723,2
Ascii.Disko,17,2
Ash,1664,4
Ashanti,3264,3
Ashbury Heights,853,5
Asher Roth,2615,3
Ashlee Simpson,2403,10
Ashley Tisdale,856,4
Ashra,184,2
Ashram,40,1
Asia,20,1
Asking Alexandria,3342,4
Asobi Seksu,3600,16
Assemblage 23,937,11
Astor Piazzolla,1552,3
Astral Projection,1837,10
Astrix,3373,7
Astrobrite,63,1
Astrud Gilberto,1117,3
At the Drive-In,14432,28
At the Gates,947,17
Atari Teenage Riot,1182,9
Ataxia,28,2
Aterciopelados,112,1
Atheist,585,5
Athlete,4185,18
Atjazz,1,1
